BELNR,BUKRS,GJAHR,BLDAT,BUDAT,BLART,WAERS,BKTXT,XBLNR,USNAM,CPUDT,TCODE,MONAT,NUMPG
0000699663,N3IT,2024,8/26/24,8/26/24,RV,EUR,N3N3 Revenue Invoice 2024-08-26,REF00699663,BATCH,8/26/24,MIRO,8,4
0000699705,N3SN,2024,8/14/24,8/14/24,RE,XOF,N3N3 Vendor Invoice 2024-08-14,REF00699705,SAPUSER,8/14/24,FB50,8,2
0000699775,N3IT,2024,8/25/24,8/25/24,RE,EUR,N3N3 Vendor Invoice 2024-08-25,REF00699775,MMPOST,8/25/24,FB01,8,4
0000699796,N3IT,2024,8/27/24,8/27/24,RV,EUR,N3N3 Revenue Invoice 2024-08-27,REF00699796,MMPOST,8/27/24,F-02,8,6
0000699814,N3SN,2024,8/15/24,8/15/24,RV,XOF,N3N3 Revenue Invoice 2024-08-15,REF00699814,MMPOST,8/15/24,F-02,8,4
0000699820,N3IT,2024,8/5/24,8/5/24,RV,EUR,N3N3 Revenue Invoice 2024-08-05,REF00699820,SDPOST,8/5/24,F-02,8,6
0000699932,N3SN,2024,8/9/24,8/9/24,RV,XOF,N3N3 Revenue Invoice 2024-08-09,REF00699932,FIPOST,8/9/24,VF01,8,4
0000699988,N3SN,2024,8/16/24,8/16/24,SA,XOF,N3N3 GL Posting 2024-08-16,REF00699988,SDPOST,8/16/24,FB01,8,6
0000700083,N3IT,2024,8/3/24,8/3/24,RE,EUR,N3N3 Vendor Invoice 2024-08-03,REF00700083,FIPOST,8/3/24,VF01,8,2
0000700162,N3SN,2024,8/31/24,8/31/24,RV,XOF,N3N3 Revenue Invoice 2024-08-31,REF00700162,FIPOST,8/31/24,VF01,8,6
0000700339,N3IT,2024,8/9/24,8/9/24,RE,EUR,N3N3 Vendor Invoice 2024-08-09,REF00700339,SAPUSER,8/9/24,VF01,8,2
0000700365,N3IT,2024,8/22/24,8/22/24,RV,EUR,N3N3 Revenue Invoice 2024-08-22,REF00700365,MMPOST,8/22/24,FB01,8,4
0000700412,N3IT,2024,8/2/24,8/2/24,RE,EUR,N3N3 Vendor Invoice 2024-08-02,REF00700412,SDPOST,8/2/24,VF01,8,2
0000700485,N3SN,2024,8/29/24,8/29/24,RE,XOF,N3N3 Vendor Invoice 2024-08-29,REF00700485,BATCH,8/29/24,VF01,8,2
0000700551,N3IT,2024,8/22/24,8/22/24,SA,EUR,N3N3 GL Posting 2024-08-22,REF00700551,SAPUSER,8/22/24,F-02,8,7
0000700559,N3IT,2024,8/5/24,8/5/24,SA,EUR,N3N3 GL Posting 2024-08-05,REF00700559,MMPOST,8/5/24,MIRO,8,2
0000700570,N3IT,2024,8/30/24,8/30/24,RV,EUR,N3N3 Revenue Invoice 2024-08-30,REF00700570,SAPUSER,8/30/24,MIRO,8,6
0000700578,N3IT,2024,8/26/24,8/26/24,RV,EUR,N3N3 Revenue Invoice 2024-08-26,REF00700578,BATCH,8/26/24,MIRO,8,4
0000700613,N3IT,2024,8/31/24,8/31/24,SA,EUR,N3N3 GL Posting 2024-08-31,REF00700613,SAPUSER,8/31/24,FB01,8,5
0000700673,N3IT,2024,8/31/24,8/31/24,RV,EUR,N3N3 Revenue Invoice 2024-08-31,REF00700673,MMPOST,8/31/24,MIRO,8,4
0000700693,N3IT,2024,8/18/24,8/18/24,RV,EUR,N3N3 Revenue Invoice 2024-08-18,REF00700693,BATCH,8/18/24,VF01,8,4
0000700705,N3IT,2024,8/30/24,8/30/24,RV,EUR,N3N3 Revenue Invoice 2024-08-30,REF00700705,MMPOST,8/30/24,FB01,8,4
0000700717,N3IT,2024,8/26/24,8/26/24,RE,EUR,N3N3 Vendor Invoice 2024-08-26,REF00700717,BATCH,8/26/24,F-02,8,2
0000700746,N3IT,2024,8/4/24,8/4/24,RV,EUR,N3N3 Revenue Invoice 2024-08-04,REF00700746,SDPOST,8/4/24,FB01,8,4
0000700779,N3IT,2024,8/9/24,8/9/24,RE,EUR,N3N3 Vendor Invoice 2024-08-09,REF00700779,MMPOST,8/9/24,FB01,8,2
0000700885,N3IT,2024,8/17/24,8/17/24,RV,EUR,N3N3 Revenue Invoice 2024-08-17,REF00700885,MMPOST,8/17/24,VF01,8,4
0000700942,N3SN,2024,8/6/24,8/6/24,RV,XOF,N3N3 Revenue Invoice 2024-08-06,REF00700942,MMPOST,8/6/24,FB01,8,4
0000700946,N3IT,2024,8/9/24,8/9/24,RE,EUR,N3N3 Vendor Invoice 2024-08-09,REF00700946,SAPUSER,8/9/24,F-02,8,2
0000700982,N3IT,2024,8/12/24,8/12/24,RV,EUR,N3N3 Revenue Invoice 2024-08-12,REF00700982,SAPUSER,8/12/24,F-02,8,6
0000701035,N3IT,2024,8/30/24,8/30/24,RV,EUR,N3N3 Revenue Invoice 2024-08-30,REF00701035,FIPOST,8/30/24,FB01,8,4
0000701049,N3IT,2024,8/9/24,8/9/24,RV,EUR,N3N3 Revenue Invoice 2024-08-09,REF00701049,FIPOST,8/9/24,FB50,8,6
0000701088,N3IT,2024,8/23/24,8/23/24,RE,EUR,N3N3 Vendor Invoice 2024-08-23,REF00701088,SAPUSER,8/23/24,FB01,8,2
0000701171,N3IT,2024,8/18/24,8/18/24,RV,EUR,N3N3 Revenue Invoice 2024-08-18,REF00701171,SAPUSER,8/18/24,FB01,8,4
0000701185,N3IT,2024,8/24/24,8/24/24,SA,EUR,N3N3 GL Posting 2024-08-24,REF00701185,BATCH,8/24/24,F-02,8,2
0000701205,N3IT,2024,8/31/24,8/31/24,RE,EUR,N3N3 Vendor Invoice 2024-08-31,REF00701205,BATCH,8/31/24,FB01,8,2
0000701248,N3IT,2024,8/3/24,8/3/24,SA,EUR,N3N3 GL Posting 2024-08-03,REF00701248,FIPOST,8/3/24,FB01,8,2
0000701267,N3IT,2024,8/17/24,8/17/24,RV,EUR,N3N3 Revenue Invoice 2024-08-17,REF00701267,SDPOST,8/17/24,VF01,8,6
0000701286,N3IT,2024,8/28/24,8/28/24,RE,EUR,N3N3 Vendor Invoice 2024-08-28,REF00701286,SDPOST,8/28/24,FB01,8,2
0000701333,N3IT,2024,8/13/24,8/13/24,RV,EUR,N3N3 Revenue Invoice 2024-08-13,REF00701333,BATCH,8/13/24,FB01,8,4
0000701351,N3IT,2024,8/15/24,8/15/24,RV,EUR,N3N3 Revenue Invoice 2024-08-15,REF00701351,SAPUSER,8/15/24,FB01,8,4
0000701468,N3IT,2024,8/15/24,8/15/24,RV,EUR,N3N3 Revenue Invoice 2024-08-15,REF00701468,MMPOST,8/15/24,VF01,8,4
0000701473,N3IT,2024,8/7/24,8/7/24,SA,EUR,N3N3 GL Posting 2024-08-07,REF00701473,MMPOST,8/7/24,FB01,8,5
0000701517,N3SN,2024,8/4/24,8/4/24,RE,XOF,N3N3 Vendor Invoice 2024-08-04,REF00701517,MMPOST,8/4/24,F-02,8,2
0000701550,N3IT,2024,8/23/24,8/23/24,SA,EUR,N3N3 GL Posting 2024-08-23,REF00701550,SDPOST,8/23/24,FB01,8,2
0000701561,N3IT,2024,8/26/24,8/26/24,SA,EUR,N3N3 GL Posting 2024-08-26,REF00701561,SAPUSER,8/26/24,FB01,8,3
0000701569,N3SN,2024,8/12/24,8/12/24,RV,XOF,N3N3 Revenue Invoice 2024-08-12,REF00701569,FIPOST,8/12/24,F-02,8,4
0000701611,N3IT,2024,8/4/24,8/4/24,RV,EUR,N3N3 Revenue Invoice 2024-08-04,REF00701611,SAPUSER,8/4/24,FB01,8,4
0000701639,N3IT,2024,8/14/24,8/14/24,RV,EUR,N3N3 Revenue Invoice 2024-08-14,REF00701639,SDPOST,8/14/24,F-02,8,6
0000701643,N3IT,2024,8/21/24,8/21/24,SA,EUR,N3N3 GL Posting 2024-08-21,REF00701643,SAPUSER,8/21/24,FB50,8,5
0000701673,N3IT,2024,8/23/24,8/23/24,RV,EUR,N3N3 Revenue Invoice 2024-08-23,REF00701673,FIPOST,8/23/24,FB50,8,4
0000701763,N3IT,2024,8/28/24,8/28/24,SA,EUR,N3N3 GL Posting 2024-08-28,REF00701763,BATCH,8/28/24,MIRO,8,2
0000701766,N3IT,2024,8/3/24,8/3/24,RV,EUR,N3N3 Revenue Invoice 2024-08-03,REF00701766,MMPOST,8/3/24,MIRO,8,4
0000701779,N3IT,2024,8/13/24,8/13/24,RV,EUR,N3N3 Revenue Invoice 2024-08-13,REF00701779,SDPOST,8/13/24,MIRO,8,4
0000701847,N3IT,2024,8/25/24,8/25/24,RV,EUR,N3N3 Revenue Invoice 2024-08-25,REF00701847,SAPUSER,8/25/24,FB01,8,4
0000701908,N3IT,2024,8/18/24,8/18/24,RV,EUR,N3N3 Revenue Invoice 2024-08-18,REF00701908,SDPOST,8/18/24,FB01,8,4
0000701910,N3IT,2024,8/24/24,8/24/24,RV,EUR,N3N3 Revenue Invoice 2024-08-24,REF00701910,SDPOST,8/24/24,FB50,8,4
0000702008,N3IT,2024,8/31/24,8/31/24,RV,EUR,N3N3 Revenue Invoice 2024-08-31,REF00702008,BATCH,8/31/24,F-02,8,4
0000702043,N3IT,2024,8/12/24,8/12/24,SA,EUR,N3N3 GL Posting 2024-08-12,REF00702043,SDPOST,8/12/24,MIRO,8,2
0000702059,N3IT,2024,8/26/24,8/26/24,RV,EUR,N3N3 Revenue Invoice 2024-08-26,REF00702059,SDPOST,8/26/24,MIRO,8,6
0000702080,N3IT,2024,8/21/24,8/21/24,RV,EUR,N3N3 Revenue Invoice 2024-08-21,REF00702080,BATCH,8/21/24,F-02,8,6
0000702138,N3IT,2024,8/12/24,8/12/24,RE,EUR,N3N3 Vendor Invoice 2024-08-12,REF00702138,SDPOST,8/12/24,MIRO,8,4
0000702279,N3IT,2024,8/22/24,8/22/24,RE,EUR,N3N3 Vendor Invoice 2024-08-22,REF00702279,FIPOST,8/22/24,VF01,8,4
0000702304,N3IT,2024,8/3/24,8/3/24,RV,EUR,N3N3 Revenue Invoice 2024-08-03,REF00702304,SAPUSER,8/3/24,FB50,8,4
0000702319,N3IT,2024,8/11/24,8/11/24,RE,EUR,N3N3 Vendor Invoice 2024-08-11,REF00702319,MMPOST,8/11/24,VF01,8,4
0000702346,N3IT,2024,8/24/24,8/24/24,RE,EUR,N3N3 Vendor Invoice 2024-08-24,REF00702346,FIPOST,8/24/24,MIRO,8,4
0000702412,N3IT,2024,8/26/24,8/26/24,RV,EUR,N3N3 Revenue Invoice 2024-08-26,REF00702412,FIPOST,8/26/24,F-02,8,4
0000702471,N3IT,2024,8/2/24,8/2/24,RV,EUR,N3N3 Revenue Invoice 2024-08-02,REF00702471,SDPOST,8/2/24,FB01,8,4
0000702589,N3IT,2024,8/31/24,8/31/24,RV,EUR,N3N3 Revenue Invoice 2024-08-31,REF00702589,SAPUSER,8/31/24,FB01,8,4
0000702638,N3IT,2024,8/1/24,8/1/24,SA,EUR,N3N3 GL Posting 2024-08-01,REF00702638,SDPOST,8/1/24,FB50,8,2
0000702658,N3IT,2024,8/25/24,8/25/24,SA,EUR,N3N3 GL Posting 2024-08-25,REF00702658,SAPUSER,8/25/24,MIRO,8,2
0000702702,N3IT,2024,8/4/24,8/4/24,RV,EUR,N3N3 Revenue Invoice 2024-08-04,REF00702702,SAPUSER,8/4/24,FB01,8,4
0000702741,N3IT,2024,8/28/24,8/28/24,SA,EUR,N3N3 GL Posting 2024-08-28,REF00702741,BATCH,8/28/24,FB01,8,2
0000702748,N3IT,2024,8/31/24,8/31/24,RE,EUR,N3N3 Vendor Invoice 2024-08-31,REF00702748,BATCH,8/31/24,VF01,8,2
0000702756,N3IT,2024,8/8/24,8/8/24,RV,EUR,N3N3 Revenue Invoice 2024-08-08,REF00702756,BATCH,8/8/24,F-02,8,4
0000702768,N3IT,2024,8/27/24,8/27/24,RV,EUR,N3N3 Revenue Invoice 2024-08-27,REF00702768,SDPOST,8/27/24,F-02,8,4
0000702877,N3IT,2024,8/13/24,8/13/24,RV,EUR,N3N3 Revenue Invoice 2024-08-13,REF00702877,MMPOST,8/13/24,VF01,8,4
0000702926,N3IT,2024,8/6/24,8/6/24,SA,EUR,N3N3 GL Posting 2024-08-06,REF00702926,SDPOST,8/6/24,FB01,8,4
0000702960,N3IT,2024,8/21/24,8/21/24,RV,EUR,N3N3 Revenue Invoice 2024-08-21,REF00702960,BATCH,8/21/24,FB50,8,4
0000702991,N3IT,2024,8/23/24,8/23/24,RV,EUR,N3N3 Revenue Invoice 2024-08-23,REF00702991,BATCH,8/23/24,FB01,8,4
0000703088,N3IT,2024,8/21/24,8/21/24,SA,EUR,N3N3 GL Posting 2024-08-21,REF00703088,FIPOST,8/21/24,FB50,8,6
0000703111,N3IT,2024,8/1/24,8/1/24,SA,EUR,N3N3 GL Posting 2024-08-01,REF00703111,FIPOST,8/1/24,MIRO,8,5
0000703116,N3SN,2024,8/26/24,8/26/24,RE,XOF,N3N3 Vendor Invoice 2024-08-26,REF00703116,SAPUSER,8/26/24,VF01,8,2
0000703170,N3IT,2024,8/17/24,8/17/24,RE,EUR,N3N3 Vendor Invoice 2024-08-17,REF00703170,MMPOST,8/17/24,VF01,8,4
0000703189,N3IT,2024,8/6/24,8/6/24,RV,EUR,N3N3 Revenue Invoice 2024-08-06,REF00703189,SDPOST,8/6/24,VF01,8,4
0000703201,N3SN,2024,8/17/24,8/17/24,RE,XOF,N3N3 Vendor Invoice 2024-08-17,REF00703201,SDPOST,8/17/24,FB01,8,2
0000703233,N3IT,2024,8/31/24,8/31/24,SA,EUR,N3N3 GL Posting 2024-08-31,REF00703233,BATCH,8/31/24,VF01,8,6
0000703241,N3IT,2024,8/17/24,8/17/24,RE,EUR,N3N3 Vendor Invoice 2024-08-17,REF00703241,SAPUSER,8/17/24,MIRO,8,2
0000703282,N3SN,2024,8/31/24,8/31/24,RV,XOF,N3N3 Revenue Invoice 2024-08-31,REF00703282,MMPOST,8/31/24,F-02,8,4
0000703309,N3IT,2024,8/13/24,8/13/24,RV,EUR,N3N3 Revenue Invoice 2024-08-13,REF00703309,FIPOST,8/13/24,F-02,8,4
0000703313,N3IT,2024,8/31/24,8/31/24,RV,EUR,N3N3 Revenue Invoice 2024-08-31,REF00703313,BATCH,8/31/24,MIRO,8,6
0000703385,N3IT,2024,8/1/24,8/1/24,SA,EUR,N3N3 GL Posting 2024-08-01,REF00703385,BATCH,8/1/24,FB50,8,4
0000703410,N3IT,2024,8/20/24,8/20/24,RE,EUR,N3N3 Vendor Invoice 2024-08-20,REF00703410,MMPOST,8/20/24,FB01,8,4
0000703458,N3IT,2024,8/16/24,8/16/24,RV,EUR,N3N3 Revenue Invoice 2024-08-16,REF00703458,SDPOST,8/16/24,MIRO,8,4
0000703461,N3SN,2024,8/6/24,8/6/24,RV,XOF,N3N3 Revenue Invoice 2024-08-06,REF00703461,BATCH,8/6/24,FB50,8,6
0000703464,N3IT,2024,8/8/24,8/8/24,RV,EUR,N3N3 Revenue Invoice 2024-08-08,REF00703464,SDPOST,8/8/24,FB01,8,4
0000703481,N3IT,2024,8/20/24,8/20/24,SA,EUR,N3N3 GL Posting 2024-08-20,REF00703481,FIPOST,8/20/24,FB50,8,4
0000703530,N3IT,2024,8/17/24,8/17/24,RE,EUR,N3N3 Vendor Invoice 2024-08-17,REF00703530,SAPUSER,8/17/24,MIRO,8,2
0000703557,N3SN,2024,8/3/24,8/3/24,SA,XOF,N3N3 GL Posting 2024-08-03,REF00703557,SAPUSER,8/3/24,FB01,8,2
0000703590,N3IT,2024,8/15/24,8/15/24,RV,EUR,N3N3 Revenue Invoice 2024-08-15,REF00703590,SDPOST,8/15/24,FB50,8,6
0000703605,N3SN,2024,8/20/24,8/20/24,RV,XOF,N3N3 Revenue Invoice 2024-08-20,REF00703605,SAPUSER,8/20/24,FB50,8,6
0000703665,N3IT,2024,8/9/24,8/9/24,RE,EUR,N3N3 Vendor Invoice 2024-08-09,REF00703665,SDPOST,8/9/24,MIRO,8,2
0000703666,N3IT,2024,8/23/24,8/23/24,SA,EUR,N3N3 GL Posting 2024-08-23,REF00703666,FIPOST,8/23/24,FB01,8,2
0000703685,N3SN,2024,8/13/24,8/13/24,RV,XOF,N3N3 Revenue Invoice 2024-08-13,REF00703685,FIPOST,8/13/24,MIRO,8,6
0000703699,N3IT,2024,8/19/24,8/19/24,RV,EUR,N3N3 Revenue Invoice 2024-08-19,REF00703699,BATCH,8/19/24,FB01,8,6
0000703766,N3IT,2024,8/29/24,8/29/24,SA,EUR,N3N3 GL Posting 2024-08-29,REF00703766,MMPOST,8/29/24,MIRO,8,4
0000703796,N3IT,2024,8/21/24,8/21/24,RV,EUR,N3N3 Revenue Invoice 2024-08-21,REF00703796,SDPOST,8/21/24,VF01,8,6
0000703806,N3IT,2024,8/24/24,8/24/24,RV,EUR,N3N3 Revenue Invoice 2024-08-24,REF00703806,BATCH,8/24/24,FB01,8,4
0000703822,N3SN,2024,8/18/24,8/18/24,RV,XOF,N3N3 Revenue Invoice 2024-08-18,REF00703822,FIPOST,8/18/24,MIRO,8,4
0000703832,N3IT,2024,8/12/24,8/12/24,RE,EUR,N3N3 Vendor Invoice 2024-08-12,REF00703832,BATCH,8/12/24,VF01,8,2
0000703981,N3IT,2024,8/27/24,8/27/24,SA,EUR,N3N3 GL Posting 2024-08-27,REF00703981,SDPOST,8/27/24,FB50,8,4
0000704020,N3IT,2024,8/11/24,8/11/24,RV,EUR,N3N3 Revenue Invoice 2024-08-11,REF00704020,MMPOST,8/11/24,MIRO,8,6
0000704029,N3IT,2024,8/23/24,8/23/24,SA,EUR,N3N3 GL Posting 2024-08-23,REF00704029,MMPOST,8/23/24,FB50,8,2
0000704171,N3IT,2024,8/4/24,8/4/24,SA,EUR,N3N3 GL Posting 2024-08-04,REF00704171,SDPOST,8/4/24,VF01,8,2
0000704172,N3IT,2024,8/21/24,8/21/24,RV,EUR,N3N3 Revenue Invoice 2024-08-21,REF00704172,MMPOST,8/21/24,FB01,8,4
0000704201,N3IT,2024,8/1/24,8/1/24,RV,EUR,N3N3 Revenue Invoice 2024-08-01,REF00704201,SAPUSER,8/1/24,F-02,8,6
0000704227,N3IT,2024,8/30/24,8/30/24,RV,EUR,N3N3 Revenue Invoice 2024-08-30,REF00704227,SAPUSER,8/30/24,FB50,8,4
0000704380,N3IT,2024,8/3/24,8/3/24,RV,EUR,N3N3 Revenue Invoice 2024-08-03,REF00704380,FIPOST,8/3/24,VF01,8,6
0000704444,N3IT,2024,8/24/24,8/24/24,RV,EUR,N3N3 Revenue Invoice 2024-08-24,REF00704444,BATCH,8/24/24,VF01,8,6
0000704451,N3IT,2024,8/11/24,8/11/24,RV,EUR,N3N3 Revenue Invoice 2024-08-11,REF00704451,FIPOST,8/11/24,MIRO,8,4
0000704462,N3IT,2024,8/9/24,8/9/24,RV,EUR,N3N3 Revenue Invoice 2024-08-09,REF00704462,FIPOST,8/9/24,F-02,8,4
0000704518,N3IT,2024,8/17/24,8/17/24,RV,EUR,N3N3 Revenue Invoice 2024-08-17,REF00704518,SDPOST,8/17/24,F-02,8,6
0000704614,N3IT,2024,8/29/24,8/29/24,SA,EUR,N3N3 GL Posting 2024-08-29,REF00704614,BATCH,8/29/24,F-02,8,2
0000704622,N3IT,2024,8/21/24,8/21/24,RV,EUR,N3N3 Revenue Invoice 2024-08-21,REF00704622,FIPOST,8/21/24,MIRO,8,4
0000704627,N3IT,2024,8/31/24,8/31/24,SA,EUR,N3N3 GL Posting 2024-08-31,REF00704627,SDPOST,8/31/24,FB50,8,2
0000704637,N3IT,2024,8/27/24,8/27/24,RV,EUR,N3N3 Revenue Invoice 2024-08-27,REF00704637,SAPUSER,8/27/24,MIRO,8,4
0000704683,N3IT,2024,8/2/24,8/2/24,RV,EUR,N3N3 Revenue Invoice 2024-08-02,REF00704683,FIPOST,8/2/24,FB50,8,6
0000704685,N3IT,2024,8/11/24,8/11/24,RV,EUR,N3N3 Revenue Invoice 2024-08-11,REF00704685,BATCH,8/11/24,MIRO,8,6
0000704698,N3SN,2024,8/21/24,8/21/24,RE,XOF,N3N3 Vendor Invoice 2024-08-21,REF00704698,FIPOST,8/21/24,F-02,8,2
0000704722,N3IT,2024,8/1/24,8/1/24,SA,EUR,N3N3 GL Posting 2024-08-01,REF00704722,MMPOST,8/1/24,F-02,8,6
0000704829,N3IT,2024,8/27/24,8/27/24,RV,EUR,N3N3 Revenue Invoice 2024-08-27,REF00704829,FIPOST,8/27/24,VF01,8,6
0000704848,N3IT,2024,8/30/24,8/30/24,RV,EUR,N3N3 Revenue Invoice 2024-08-30,REF00704848,SDPOST,8/30/24,F-02,8,4
0000704932,N3IT,2024,8/17/24,8/17/24,RV,EUR,N3N3 Revenue Invoice 2024-08-17,REF00704932,SAPUSER,8/17/24,F-02,8,6
0000704935,N3IT,2024,8/13/24,8/13/24,SA,EUR,N3N3 GL Posting 2024-08-13,REF00704935,BATCH,8/13/24,F-02,8,2
0000704971,N3SN,2024,8/15/24,8/15/24,RV,XOF,N3N3 Revenue Invoice 2024-08-15,REF00704971,BATCH,8/15/24,F-02,8,4
0000704980,N3IT,2024,8/8/24,8/8/24,RV,EUR,N3N3 Revenue Invoice 2024-08-08,REF00704980,MMPOST,8/8/24,MIRO,8,6
0000705082,N3IT,2024,8/10/24,8/10/24,RV,EUR,N3N3 Revenue Invoice 2024-08-10,REF00705082,MMPOST,8/10/24,VF01,8,4
0000705107,N3IT,2024,8/31/24,8/31/24,RV,EUR,N3N3 Revenue Invoice 2024-08-31,REF00705107,FIPOST,8/31/24,F-02,8,6
0000705155,N3SN,2024,8/15/24,8/15/24,RV,XOF,N3N3 Revenue Invoice 2024-08-15,REF00705155,BATCH,8/15/24,MIRO,8,6
0000705157,N3IT,2024,8/24/24,8/24/24,RV,EUR,N3N3 Revenue Invoice 2024-08-24,REF00705157,FIPOST,8/24/24,FB50,8,4
0000705254,N3IT,2024,8/5/24,8/5/24,RV,EUR,N3N3 Revenue Invoice 2024-08-05,REF00705254,SDPOST,8/5/24,F-02,8,4
0000705377,N3IT,2024,8/30/24,8/30/24,RV,EUR,N3N3 Revenue Invoice 2024-08-30,REF00705377,SAPUSER,8/30/24,FB01,8,4
0000705402,N3IT,2024,8/7/24,8/7/24,RV,EUR,N3N3 Revenue Invoice 2024-08-07,REF00705402,BATCH,8/7/24,VF01,8,4
0000705510,N3IT,2024,8/2/24,8/2/24,RV,EUR,N3N3 Revenue Invoice 2024-08-02,REF00705510,BATCH,8/2/24,MIRO,8,6
0000705519,N3IT,2024,8/4/24,8/4/24,RV,EUR,N3N3 Revenue Invoice 2024-08-04,REF00705519,BATCH,8/4/24,F-02,8,4
0000705520,N3SN,2024,8/20/24,8/20/24,RV,XOF,N3N3 Revenue Invoice 2024-08-20,REF00705520,MMPOST,8/20/24,MIRO,8,4
0000705538,N3IT,2024,8/5/24,8/5/24,RE,EUR,N3N3 Vendor Invoice 2024-08-05,REF00705538,BATCH,8/5/24,FB01,8,2
0000705544,N3IT,2024,8/17/24,8/17/24,RV,EUR,N3N3 Revenue Invoice 2024-08-17,REF00705544,BATCH,8/17/24,F-02,8,4
0000705627,N3SN,2024,8/18/24,8/18/24,RV,XOF,N3N3 Revenue Invoice 2024-08-18,REF00705627,SAPUSER,8/18/24,FB50,8,4
0000705631,N3IT,2024,8/27/24,8/27/24,SA,EUR,N3N3 GL Posting 2024-08-27,REF00705631,SDPOST,8/27/24,FB01,8,7
0000705676,N3IT,2024,8/5/24,8/5/24,RV,EUR,N3N3 Revenue Invoice 2024-08-05,REF00705676,MMPOST,8/5/24,FB01,8,4
0000705679,N3SN,2024,8/5/24,8/5/24,RV,XOF,N3N3 Revenue Invoice 2024-08-05,REF00705679,MMPOST,8/5/24,FB50,8,4
0000705687,N3IT,2024,8/9/24,8/9/24,RV,EUR,N3N3 Revenue Invoice 2024-08-09,REF00705687,BATCH,8/9/24,FB01,8,6
0000705760,N3SN,2024,8/28/24,8/28/24,SA,XOF,N3N3 GL Posting 2024-08-28,REF00705760,FIPOST,8/28/24,FB01,8,4
0000705782,N3IT,2024,8/10/24,8/10/24,RV,EUR,N3N3 Revenue Invoice 2024-08-10,REF00705782,SAPUSER,8/10/24,FB01,8,4
0000705915,N3IT,2024,8/25/24,8/25/24,RV,EUR,N3N3 Revenue Invoice 2024-08-25,REF00705915,SDPOST,8/25/24,FB01,8,4
0000705933,N3IT,2024,8/20/24,8/20/24,RE,EUR,N3N3 Vendor Invoice 2024-08-20,REF00705933,SAPUSER,8/20/24,FB50,8,4
0000706001,N3SN,2024,8/30/24,8/30/24,RV,XOF,N3N3 Revenue Invoice 2024-08-30,REF00706001,SDPOST,8/30/24,FB01,8,4
0000706025,N3IT,2024,8/1/24,8/1/24,RV,EUR,N3N3 Revenue Invoice 2024-08-01,REF00706025,MMPOST,8/1/24,F-02,8,4
0000706031,N3IT,2024,8/24/24,8/24/24,RV,EUR,N3N3 Revenue Invoice 2024-08-24,REF00706031,SDPOST,8/24/24,FB50,8,6
0000706092,N3IT,2024,8/29/24,8/29/24,RV,EUR,N3N3 Revenue Invoice 2024-08-29,REF00706092,SAPUSER,8/29/24,FB01,8,6
0000706136,N3IT,2024,8/1/24,8/1/24,RV,EUR,N3N3 Revenue Invoice 2024-08-01,REF00706136,SDPOST,8/1/24,FB01,8,4
0000706212,N3IT,2024,8/27/24,8/27/24,RV,EUR,N3N3 Revenue Invoice 2024-08-27,REF00706212,MMPOST,8/27/24,MIRO,8,6
0000706265,N3IT,2024,8/6/24,8/6/24,RV,EUR,N3N3 Revenue Invoice 2024-08-06,REF00706265,MMPOST,8/6/24,MIRO,8,4
0000706301,N3IT,2024,8/30/24,8/30/24,SA,EUR,N3N3 GL Posting 2024-08-30,REF00706301,MMPOST,8/30/24,FB50,8,2
0000706339,N3IT,2024,8/13/24,8/13/24,RV,EUR,N3N3 Revenue Invoice 2024-08-13,REF00706339,SDPOST,8/13/24,VF01,8,4
0000706365,N3IT,2024,8/8/24,8/8/24,RV,EUR,N3N3 Revenue Invoice 2024-08-08,REF00706365,FIPOST,8/8/24,VF01,8,4
0000706424,N3IT,2024,8/19/24,8/19/24,RV,EUR,N3N3 Revenue Invoice 2024-08-19,REF00706424,SDPOST,8/19/24,VF01,8,4
0000706451,N3IT,2024,8/26/24,8/26/24,SA,EUR,N3N3 GL Posting 2024-08-26,REF00706451,FIPOST,8/26/24,FB50,8,2
0000706472,N3IT,2024,8/22/24,8/22/24,RE,EUR,N3N3 Vendor Invoice 2024-08-22,REF00706472,SDPOST,8/22/24,FB50,8,2
0000706489,N3IT,2024,8/21/24,8/21/24,RV,EUR,N3N3 Revenue Invoice 2024-08-21,REF00706489,BATCH,8/21/24,MIRO,8,6
0000706529,N3IT,2024,8/4/24,8/4/24,RE,EUR,N3N3 Vendor Invoice 2024-08-04,REF00706529,BATCH,8/4/24,FB01,8,2
0000706553,N3IT,2024,8/26/24,8/26/24,RE,EUR,N3N3 Vendor Invoice 2024-08-26,REF00706553,MMPOST,8/26/24,MIRO,8,2
0000706598,N3IT,2024,8/8/24,8/8/24,SA,EUR,N3N3 GL Posting 2024-08-08,REF00706598,MMPOST,8/8/24,FB50,8,3
0000706601,N3IT,2024,8/31/24,8/31/24,RV,EUR,N3N3 Revenue Invoice 2024-08-31,REF00706601,SAPUSER,8/31/24,FB50,8,4
0000706683,N3SN,2024,8/5/24,8/5/24,RV,XOF,N3N3 Revenue Invoice 2024-08-05,REF00706683,MMPOST,8/5/24,FB50,8,6
0000706686,N3IT,2024,8/10/24,8/10/24,SA,EUR,N3N3 GL Posting 2024-08-10,REF00706686,MMPOST,8/10/24,MIRO,8,2
0000706688,N3IT,2024,8/19/24,8/19/24,RE,EUR,N3N3 Vendor Invoice 2024-08-19,REF00706688,MMPOST,8/19/24,VF01,8,2
